date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:36	1988637/1988637	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2005%20Jan%202019%2007:45:42%20GMT	http://gull-laravel.ui-lib.com/fonts/iconsmind.svg?1f8fca36dc60dea28731a385dc3724ae	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/fonts/iconsmind1735.svg	(from http://gull-laravel.ui-lib.com/assets/styles/css/themes/lite-purple.min.css)
08:35:40	11145/11145	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Jan%202019%2007:45:42%20GMT	http://gull-laravel.ui-lib.com/images/page-bg-bottom.png?ec613ada298590517b55ec1e07aaa754	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/images/page-bg-bottom3f8f.png	(from http://gull-laravel.ui-lib.com/assets/styles/css/themes/lite-purple.min.css)
08:36:04	515684/515684	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2005%20Jan%202019%2007:45:42%20GMT	http://gull-laravel.ui-lib.com/fonts/iconsmind.eot?1cd6a624d6a7569e37128c287a443e7e	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/fonts/iconsminddaa4.eot	(from http://gull-laravel.ui-lib.com/assets/styles/css/themes/lite-purple.min.css)
08:36:04	515512/515512	---M--	200	added ('OK')	font/ttf	date:Sat,%2005%20Jan%202019%2007:45:42%20GMT	http://gull-laravel.ui-lib.com/fonts/iconsmind.ttf?a925856d85799acc394635553311887a	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/fonts/iconsmindf715.ttf	(from http://gull-laravel.ui-lib.com/assets/styles/css/themes/lite-purple.min.css)
08:36:05	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:36:05%20GMT	http://gull-laravel.ui-lib.com/sessions/forgot.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/sessions/forgot.4c.delayed	(from http://gull-laravel.ui-lib.com/sessions/signIn)
08:36:05	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:36:06%20GMT	http://gull-laravel.ui-lib.com/sessions/signup.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/sessions/signup-2.html	(from http://gull-laravel.ui-lib.com/sessions/signIn)
08:36:06	3056/3056	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2005%20Jan%202019%2007:45:42%20GMT	http://gull-laravel.ui-lib.com/assets/js/script.js	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/assets/js/script.js	(from http://gull-laravel.ui-lib.com/sessions/signIn)
08:36:07	27399/27399	---MCZ	200	added ('OK')	text/css	date:Sun,%2030%20Dec%202018%2023:53:00%20GMT	http://gull-laravel.ui-lib.com/assets/styles/vendor/datatables.min.css	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/assets/styles/vendor/datatables.min.css	(from http://gull-laravel.ui-lib.com/datatables/basic-tables)
08:36:07	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:36:07%20GMT	http://gull-laravel.ui-lib.com/datatables/accordion.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/datatables/accordion.html	(from http://gull-laravel.ui-lib.com/datatables/basic-tables)
08:36:08	515588/515588	---M--	200	added ('OK')	font/woff	date:Sat,%2005%20Jan%202019%2007:45:42%20GMT	http://gull-laravel.ui-lib.com/fonts/iconsmind.woff?5e5b709879b64c720a2c768a516ff0d3	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/fonts/iconsmind1fcf.woff	(from http://gull-laravel.ui-lib.com/assets/styles/css/themes/lite-purple.min.css)
08:36:08	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:36:08%20GMT	http://gull-laravel.ui-lib.com/datatables/alerts.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/datatables/alerts.html	(from http://gull-laravel.ui-lib.com/datatables/basic-tables)
08:36:09	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:36:09%20GMT	http://gull-laravel.ui-lib.com/datatables/buttons.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/datatables/buttons.html	(from http://gull-laravel.ui-lib.com/datatables/basic-tables)
08:36:09	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:36:10%20GMT	http://gull-laravel.ui-lib.com/datatables/badges.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/datatables/badges.html	(from http://gull-laravel.ui-lib.com/datatables/basic-tables)
08:36:10	10357/10357	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Jan%202019%2001:36:10%20GMT	http://gull-laravel.ui-lib.com/datatables/carousel.html	C:/xampp/htdocs/Admin/Admin/gull-laravel.ui-lib.com/datatables/carousel.html	(from http://gull-laravel.ui-lib.com/datatables/basic-tables)
